target,discovered,wrong letters,number of hits,lives remaining,game won
proponents,"['p', 'r', 'o', 'p', 'o', 'n', 'e', 'n', 't', 's']","['i', 'a', 'l', 'c', 'd', 'u', 'g']",10,3,True
infects,"['i', 'n', '_', 'e', 'c', 't', 's']","['r', 'a', 'l', 'o', 'd', 'g', 'u', 'p', 'm', 'h']",6,0,False
cincture,"['c', 'i', 'n', 'c', 't', 'u', 'r', 'e']","['s', 'a', 'o', 'l', 'd', 'g']",8,4,True
ladybird,"['l', 'a', 'd', '_', '_', 'i', 'r', 'd']","['e', 's', 'n', 't', 'o', 'c', 'g', 'u', 'p', 'm']",6,0,False
multipurpose,"['m', 'u', 'l', 't', 'i', 'p', 'u', 'r', 'p', 'o', 's', 'e']","['n', 'a', 'c', 'd', 'g']",12,5,True
punished,"['p', 'u', 'n', 'i', 's', 'h', 'e', 'd']","['r', 'a', 't', 'o', 'l', 'c', 'g', 'm']",8,2,True
beguiling,"['_', 'e', 'g', 'u', 'i', 'l', 'i', 'n', 'g']","['s', 'r', 'a', 't', 'o', 'd', 'c', 'p', 'm', 'h']",8,0,False
wares,"['_', 'a', 'r', 'e', 's']","['o', 'l', 't', 'i', 'n', 'd', 'u', 'c', 'p', 'h']",4,0,False
hypotenuse,"['h', '_', 'p', 'o', 't', 'e', 'n', 'u', 's', 'e']","['i', 'a', 'r', 'l', 'c', 'd', 'g', 'm', 'b', 'f']",9,0,False
enumerates,"['e', 'n', 'u', 'm', 'e', 'r', 'a', 't', 'e', 's']","['i', 'o', 'l', 'c', 'd', 'g', 'p']",10,3,True
crippling,"['c', 'r', 'i', 'p', 'p', 'l', 'i', 'n', 'g']","['e', 's', 'a', 't', 'o', 'd', 'u']",9,3,True
recitals,"['r', 'e', 'c', 'i', 't', 'a', 'l', 's']","['n', 'o', 'd']",8,7,True
reeve,"['r', 'e', 'e', '_', 'e']","['s', 'a', 'o', 'l', 't', 'i', 'n', 'd', 'u', 'c']",4,0,False
denouncements,"['d', 'e', 'n', 'o', 'u', 'n', 'c', 'e', 'm', 'e', 'n', 't', 's']","['i', 'a', 'r', 'l', 'p', 'g']",13,4,True
labor,"['l', 'a', '_', 'o', 'r']","['s', 'e', 't', 'i', 'n', 'd', 'u', 'c', 'p', 'h']",4,0,False
madmen,"['_', 'a', 'd', '_', 'e', 'n']","['s', 'r', 'i', 'o', 't', 'l', 'u', 'c', 'p', 'g']",4,0,False
nonpareil,"['n', 'o', 'n', 'p', 'a', 'r', 'e', 'i', 'l']","['s', 't', 'd', 'c', 'g', 'u']",9,4,True
diverge,"['d', 'i', '_', 'e', 'r', 'g', 'e']","['s', 'a', 'n', 't', 'l', 'o', 'u', 'c', 'p', 'm']",6,0,False
suppler,"['s', 'u', 'p', 'p', 'l', 'e', 'r']","['i', 'a', 'n', 't', 'o', 'd', 'g', 'c']",7,2,True
whiting,"['_', '_', 'i', 't', 'i', 'n', 'g']","['e', 's', 'r', 'a', 'l', 'o', 'd', 'u', 'c', 'p']",5,0,False
fatigues,"['_', 'a', 't', 'i', 'g', 'u', 'e', 's']","['r', 'n', 'o', 'l', 'd', 'c', 'p', 'm', 'h', 'b']",7,0,False
shadowiest,"['s', 'h', 'a', 'd', 'o', '_', 'i', 'e', 's', 't']","['n', 'r', 'l', 'c', 'u', 'g', 'p', 'm', 'b', 'f']",9,0,False
condors,"['c', 'o', 'n', 'd', 'o', 'r', 's']","['e', 'i', 'a', 't', 'l', 'g', 'u']",7,3,True
yokel,"['_', 'o', '_', 'e', 'l']","['s', 'a', 'r', 't', 'i', 'n', 'd', 'u', 'c', 'p']",3,0,False
zonked,"['_', 'o', 'n', '_', 'e', 'd']","['s', 'r', 'a', 'i', 't', 'l', 'u', 'c', 'p', 'g']",4,0,False
miserable,"['m', 'i', 's', 'e', 'r', 'a', 'b', 'l', 'e']","['n', 't', 'o', 'd', 'c', 'g', 'u', 'p', 'h']",9,1,True
paired,"['p', 'a', 'i', 'r', 'e', 'd']","['s', 'o', 't', 'l', 'n', 'u', 'c']",6,3,True
obtained,"['o', 'b', 't', 'a', 'i', 'n', 'e', 'd']","['s', 'r', 'l', 'c', 'g', 'u', 'p', 'm', 'h']",8,1,True
ensure,"['e', 'n', 's', 'u', 'r', 'e']","['a', 'i', 'o', 't', 'd', 'l']",6,4,True
crouch,"['c', 'r', 'o', 'u', 'c', '_']","['e', 's', 'a', 'i', 't', 'd', 'l', 'n', 'p', 'g']",5,0,False
wryest,"['_', 'r', '_', 'e', 's', 't']","['a', 'i', 'o', 'd', 'l', 'n', 'u', 'c', 'p', 'g']",4,0,False
aspirate,"['a', 's', 'p', 'i', 'r', 'a', 't', 'e']","['n', 'o', 'l', 'd', 'c', 'g', 'u']",8,3,True
craft,"['c', 'r', 'a', '_', 't']","['s', 'e', 'o', 'l', 'i', 'n', 'd', 'u', 'p', 'h']",4,0,False
haywire,"['_', 'a', '_', '_', 'i', 'r', 'e']","['s', 'n', 't', 'l', 'o', 'd', 'g', 'u', 'c', 'p']",4,0,False
abscess,"['a', '_', 's', 'c', 'e', 's', 's']","['i', 'r', 'n', 't', 'l', 'o', 'd', 'g', 'u', 'p']",6,0,False
belled,"['_', 'e', 'l', 'l', 'e', 'd']","['s', 'r', 'a', 'i', 'o', 't', 'n', 'u', 'c', 'p']",5,0,False
misadventure,"['m', 'i', 's', 'a', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e']","['o', 'l', 'c', 'p', 'g', 'h', 'b', 'y', 'f']",12,1,True
jaywalk,"['_', 'a', '_', '_', 'a', 'l', '_']","['e', 's', 'i', 'r', 'n', 't', 'o', 'd', 'g', 'u']",3,0,False
priced,"['p', 'r', 'i', 'c', 'e', 'd']","['s', 'a', 'o', 't', 'l', 'n', 'u']",6,3,True
steamiest,"['s', 't', 'e', 'a', 'm', 'i', 'e', 's', 't']","['r', 'n', 'o', 'l', 'd', 'c', 'g', 'u', 'p']",9,1,True
