target,discovered,wrong letters,number of hits,lives remaining,game won
fry,"['_', 'r', '_']","['s', 'e', 'i', 'a', 'n', 't', 'o', 'l', 'c', 'd']",1,0,False
dreamed,"['d', 'r', 'e', 'a', 'm', 'e', 'd']","['s', 'i', 'n', 't', 'o', 'l', 'c', 'u', 'g']",7,1,True
flagstaff,"['_', 'l', 'a', 'g', 's', 't', 'a', '_', '_']","['e', 'i', 'r', 'n', 'o', 'c', 'd', 'u', 'm', 'p']",6,0,False
gazelles,"['g', 'a', '_', 'e', 'l', 'l', 'e', 's']","['i', 'r', 'n', 't', 'o', 'c', 'd', 'u', 'm', 'p']",7,0,False
engage,"['e', 'n', 'g', 'a', 'g', 'e']","['s', 'i', 'r', 't', 'o', 'l', 'c', 'd', 'u']",6,1,True
spinach,"['s', 'p', 'i', 'n', 'a', 'c', 'h']","['e', 'r', 't', 'o', 'l', 'd', 'u', 'g', 'm']",7,1,True
loaned,"['l', 'o', 'a', 'n', 'e', 'd']","['s', 'i', 'r', 't', 'c']",6,5,True
pipsqueaks,"['p', 'i', 'p', 's', '_', 'u', 'e', 'a', '_', 's']","['r', 'n', 't', 'o', 'l', 'c', 'd', 'g', 'm', 'h']",8,0,False
numeral,"['n', 'u', 'm', 'e', 'r', 'a', 'l']","['s', 'i', 't', 'o', 'c', 'd', 'g']",7,3,True
throbs,"['t', '_', 'r', 'o', '_', 's']","['e', 'i', 'a', 'n', 'l', 'c', 'd', 'u', 'g', 'm']",4,0,False
cleaners,"['c', 'l', 'e', 'a', 'n', 'e', 'r', 's']","['i', 't', 'o']",8,7,True
deeded,"['d', 'e', 'e', 'd', 'e', 'd']","['s', 'i', 'a', 'r', 'n', 't', 'o', 'l', 'c']",6,1,True
besieger,"['_', 'e', 's', 'i', 'e', 'g', 'e', 'r']","['a', 'n', 't', 'o', 'l', 'c', 'd', 'u', 'm', 'p']",7,0,False
independently,"['i', 'n', 'd', 'e', 'p', 'e', 'n', 'd', 'e', 'n', 't', 'l', '_']","['s', 'a', 'r', 'o', 'c', 'u', 'g', 'm', 'h', 'b']",12,0,False
rot,"['r', 'o', 't']","['s', 'e', 'i', 'a', 'n']",3,5,True
caffeine,"['c', 'a', '_', '_', 'e', 'i', 'n', 'e']","['s', 'r', 't', 'o', 'l', 'd', 'u', 'g', 'm', 'p']",6,0,False
undaunted,"['u', 'n', 'd', 'a', 'u', 'n', 't', 'e', 'd']","['s', 'i', 'r', 'o', 'l', 'c']",9,4,True
infatuations,"['i', 'n', '_', 'a', 't', 'u', 'a', 't', 'i', 'o', 'n', 's']","['e', 'r', 'l', 'c', 'd', 'g', 'm', 'p', 'h', 'b']",11,0,False
rationale,"['r', 'a', 't', 'i', 'o', 'n', 'a', 'l', 'e']",['s'],9,9,True
jounced,"['_', 'o', 'u', 'n', 'c', 'e', 'd']","['s', 'i', 'a', 'r', 't', 'l', 'g', 'm', 'p', 'h']",6,0,False
modulated,"['m', 'o', 'd', 'u', 'l', 'a', 't', 'e', 'd']","['s', 'i', 'r', 'n', 'c', 'g']",9,4,True
rediscovery,"['r', 'e', 'd', 'i', 's', 'c', 'o', '_', 'e', 'r', '_']","['a', 'n', 't', 'l', 'u', 'g', 'm', 'p', 'h', 'b']",9,0,False
pressures,"['_', 'r', 'e', 's', 's', 'u', 'r', 'e', 's']","['i', 'a', 'n', 't', 'o', 'l', 'c', 'd', 'g', 'm']",8,0,False
snazzier,"['s', 'n', 'a', '_', '_', 'i', 'e', 'r']","['t', 'o', 'l', 'c', 'd', 'u', 'g', 'm', 'p', 'h']",6,0,False
ingrown,"['i', 'n', 'g', 'r', 'o', '_', 'n']","['s', 'e', 'a', 't', 'l', 'c', 'd', 'u', 'm', 'p']",6,0,False
codding,"['c', 'o', 'd', 'd', 'i', 'n', 'g']","['s', 'e', 'a', 'r', 't', 'l', 'u']",7,3,True
spareribs,"['s', 'p', 'a', 'r', 'e', 'r', 'i', '_', 's']","['n', 't', 'o', 'l', 'c', 'd', 'u', 'g', 'm', 'h']",8,0,False
changed,"['c', 'h', 'a', 'n', 'g', 'e', 'd']","['s', 'i', 'r', 't', 'o', 'l', 'u', 'm', 'p']",7,1,True
rascals,"['r', 'a', 's', 'c', 'a', 'l', 's']","['e', 'i', 'n', 't', 'o']",7,5,True
brazier,"['_', 'r', 'a', '_', 'i', 'e', 'r']","['s', 'n', 't', 'o', 'l', 'c', 'd', 'u', 'g', 'm']",5,0,False
improvable,"['i', 'm', 'p', 'r', 'o', '_', 'a', 'b', 'l', 'e']","['s', 'n', 't', 'c', 'd', 'u', 'g', 'h', 'y', 'f']",9,0,False
surgeon,"['s', 'u', 'r', 'g', 'e', 'o', 'n']","['i', 'a', 't', 'l', 'c', 'd']",7,4,True
grapefruits,"['g', 'r', 'a', 'p', 'e', 'f', 'r', 'u', 'i', 't', 's']","['n', 'o', 'l', 'c', 'd', 'm', 'h', 'b', 'y']",11,1,True
operations,"['o', 'p', 'e', 'r', 'a', 't', 'i', 'o', 'n', 's']","['l', 'c', 'd', 'u', 'g', 'm']",10,4,True
droppers,"['d', 'r', 'o', 'p', 'p', 'e', 'r', 's']","['i', 'a', 'n', 't', 'l', 'c', 'u', 'g', 'm']",8,1,True
relieving,"['r', 'e', 'l', 'i', 'e', '_', 'i', 'n', 'g']","['s', 'a', 't', 'o', 'c', 'd', 'u', 'm', 'p', 'h']",8,0,False
demographers,"['d', 'e', 'm', 'o', 'g', 'r', 'a', 'p', 'h', 'e', 'r', 's']","['i', 'n', 't', 'l', 'c', 'u']",12,4,True
limericks,"['l', 'i', 'm', 'e', 'r', 'i', 'c', '_', 's']","['a', 'n', 't', 'o', 'd', 'u', 'g', 'p', 'h', 'b']",8,0,False
home,"['_', 'o', '_', 'e']","['s', 'i', 'a', 'r', 'n', 't', 'l', 'c', 'd', 'u']",2,0,False
microscopy,"['m', 'i', 'c', 'r', 'o', 's', 'c', 'o', 'p', '_']","['e', 'a', 'n', 't', 'l', 'd', 'u', 'g', 'h', 'b']",9,0,False
consult,"['c', 'o', 'n', 's', 'u', 'l', 't']","['e', 'i', 'a', 'r', 'd']",7,5,True
nonzero,"['n', 'o', 'n', '_', 'e', 'r', 'o']","['s', 'i', 'a', 't', 'l', 'c', 'd', 'u', 'g', 'm']",6,0,False
stoic,"['s', 't', 'o', 'i', 'c']","['e', 'a', 'r', 'n', 'l']",5,5,True
rapes,"['r', 'a', '_', 'e', 's']","['i', 'n', 't', 'o', 'l', 'c', 'd', 'u', 'g', 'm']",4,0,False
enraptures,"['e', 'n', 'r', 'a', 'p', 't', 'u', 'r', 'e', 's']","['i', 'o', 'l', 'c', 'd', 'g', 'm']",10,3,True
brandies,"['b', 'r', 'a', 'n', 'd', 'i', 'e', 's']","['t', 'o', 'l', 'c', 'u', 'g', 'm', 'p', 'h']",8,1,True
adjurations,"['a', 'd', '_', 'u', 'r', 'a', 't', 'i', 'o', 'n', 's']","['e', 'l', 'c', 'g', 'm', 'p', 'h', 'b', 'y', 'f']",10,0,False
liberates,"['l', 'i', 'b', 'e', 'r', 'a', 't', 'e', 's']","['n', 'o', 'c', 'd', 'u', 'g', 'm', 'p', 'h']",9,1,True
galvanising,"['g', 'a', 'l', '_', 'a', 'n', 'i', 's', 'i', 'n', 'g']","['e', 'r', 't', 'o', 'c', 'd', 'u', 'm', 'p', 'h']",10,0,False
financial,"['_', 'i', 'n', 'a', 'n', 'c', 'i', 'a', 'l']","['s', 'e', 'r', 't', 'o', 'd', 'u', 'g', 'm', 'p']",8,0,False
melodious,"['m', 'e', 'l', 'o', 'd', 'i', 'o', 'u', 's']","['a', 'r', 'n', 't', 'c', 'g']",9,4,True
volcanoes,"['_', 'o', 'l', 'c', 'a', 'n', 'o', 'e', 's']","['i', 'r', 't', 'd', 'u', 'g', 'm', 'p', 'h', 'b']",8,0,False
trickiness,"['t', 'r', 'i', 'c', '_', 'i', 'n', 'e', 's', 's']","['a', 'o', 'l', 'd', 'u', 'g', 'm', 'p', 'h', 'b']",9,0,False
effectiveness,"['e', '_', '_', 'e', 'c', 't', 'i', '_', 'e', 'n', 'e', 's', 's']","['a', 'r', 'o', 'l', 'd', 'u', 'g', 'm', 'p', 'h']",10,0,False
stratagems,"['s', 't', 'r', 'a', 't', 'a', 'g', 'e', 'm', 's']","['i', 'n', 'o', 'l', 'c', 'd', 'u']",10,3,True
inculcating,"['i', 'n', 'c', 'u', 'l', 'c', 'a', 't', 'i', 'n', 'g']","['s', 'e', 'r', 'o', 'd']",11,5,True
enabling,"['e', 'n', 'a', '_', 'l', 'i', 'n', 'g']","['s', 'r', 't', 'o', 'c', 'd', 'u', 'm', 'p', 'h']",7,0,False
secretes,"['s', 'e', 'c', 'r', 'e', 't', 'e', 's']","['i', 'a', 'n', 'o', 'l']",8,5,True
stepping,"['s', 't', 'e', 'p', 'p', 'i', 'n', 'g']","['a', 'r', 'o', 'l', 'c', 'd', 'u', 'm']",8,2,True
cunt,"['c', 'u', 'n', 't']","['s', 'e', 'i', 'a', 'r', 'o', 'l', 'd']",4,2,True
stoically,"['s', 't', 'o', 'i', 'c', 'a', 'l', 'l', '_']","['e', 'r', 'n', 'd', 'u', 'g', 'm', 'p', 'h', 'b']",8,0,False
biathlon,"['b', 'i', 'a', 't', 'h', 'l', 'o', 'n']","['s', 'e', 'r', 'c', 'd', 'u', 'g', 'm', 'p']",8,1,True
artier,"['a', 'r', 't', 'i', 'e', 'r']","['s', 'n']",6,8,True
prep,"['_', 'r', 'e', '_']","['s', 'i', 'a', 'n', 't', 'o', 'l', 'c', 'd', 'u']",2,0,False
coughed,"['c', 'o', 'u', 'g', 'h', 'e', 'd']","['s', 'i', 'a', 'r', 'n', 't', 'l', 'm', 'p']",7,1,True
chequerboard,"['c', 'h', 'e', '_', 'u', 'e', 'r', 'b', 'o', 'a', 'r', 'd']","['s', 'i', 'n', 't', 'l', 'g', 'm', 'p', 'y', 'f']",11,0,False
nonmalignant,"['n', 'o', 'n', 'm', 'a', 'l', 'i', 'g', 'n', 'a', 'n', 't']","['s', 'e', 'r', 'c', 'd', 'u']",12,4,True
foxtrotting,"['_', 'o', '_', 't', 'r', 'o', 't', 't', 'i', 'n', 'g']","['s', 'e', 'a', 'l', 'c', 'd', 'u', 'm', 'p', 'h']",9,0,False
despoil,"['d', 'e', 's', 'p', 'o', 'i', 'l']","['a', 'r', 'n', 't', 'c', 'u', 'g', 'm']",7,2,True
lecher,"['l', 'e', 'c', '_', 'e', 'r']","['s', 'i', 'a', 'n', 't', 'o', 'd', 'u', 'g', 'm']",5,0,False
prevailing,"['p', 'r', 'e', '_', 'a', 'i', 'l', 'i', 'n', 'g']","['s', 't', 'o', 'c', 'd', 'u', 'm', 'h', 'b', 'y']",9,0,False
redefined,"['r', 'e', 'd', 'e', '_', 'i', 'n', 'e', 'd']","['s', 'a', 't', 'o', 'l', 'c', 'u', 'g', 'm', 'p']",8,0,False
necklines,"['n', 'e', 'c', '_', 'l', 'i', 'n', 'e', 's']","['a', 'r', 't', 'o', 'd', 'u', 'g', 'm', 'p', 'h']",8,0,False
implausibility,"['i', 'm', 'p', 'l', 'a', 'u', 's', 'i', 'b', 'i', 'l', 'i', 't', 'y']","['e', 'r', 'n', 'o', 'c', 'd', 'g', 'h']",14,2,True
wormhole,"['_', 'o', 'r', 'm', '_', 'o', 'l', 'e']","['s', 'i', 'a', 'n', 't', 'c', 'd', 'u', 'g', 'p']",6,0,False
sorrowing,"['s', 'o', 'r', 'r', 'o', '_', 'i', 'n', 'g']","['e', 'a', 't', 'l', 'c', 'd', 'u', 'm', 'p', 'h']",8,0,False
dishcloths,"['d', 'i', 's', 'h', 'c', 'l', 'o', 't', 'h', 's']","['e', 'a', 'r', 'n', 'u', 'g', 'm', 'p']",10,2,True
quietude,"['_', 'u', 'i', 'e', 't', 'u', 'd', 'e']","['s', 'a', 'r', 'n', 'o', 'l', 'c', 'g', 'm', 'p']",7,0,False
twirling,"['t', '_', 'i', 'r', 'l', 'i', 'n', 'g']","['s', 'e', 'a', 'o', 'c', 'd', 'u', 'm', 'p', 'h']",7,0,False
moldier,"['m', 'o', 'l', 'd', 'i', 'e', 'r']","['s', 'a', 'n', 't', 'c', 'u', 'g']",7,3,True
loaves,"['l', 'o', 'a', '_', 'e', 's']","['i', 'r', 'n', 't', 'c', 'd', 'u', 'g', 'm', 'p']",5,0,False
queer,"['_', 'u', 'e', 'e', 'r']","['s', 'i', 'a', 'n', 't', 'o', 'l', 'c', 'd', 'g']",4,0,False
icecaps,"['i', 'c', 'e', 'c', 'a', 'p', 's']","['r', 'n', 't', 'o', 'l', 'd', 'u', 'g', 'm']",7,1,True
recessions,"['r', 'e', 'c', 'e', 's', 's', 'i', 'o', 'n', 's']","['a', 't', 'l']",10,7,True
gobbling,"['g', 'o', '_', '_', 'l', 'i', 'n', 'g']","['s', 'e', 'a', 'r', 't', 'c', 'd', 'u', 'm', 'p']",6,0,False
tiptoe,"['t', 'i', '_', 't', 'o', 'e']","['s', 'a', 'r', 'n', 'l', 'c', 'd', 'u', 'g', 'm']",5,0,False
prevarication,"['p', 'r', 'e', '_', 'a', 'r', 'i', 'c', 'a', 't', 'i', 'o', 'n']","['s', 'l', 'd', 'u', 'g', 'm', 'h', 'b', 'y', 'f']",12,0,False
ricketier,"['r', 'i', 'c', '_', 'e', 't', 'i', 'e', 'r']","['s', 'a', 'n', 'o', 'l', 'd', 'u', 'g', 'm', 'p']",8,0,False
battle,"['_', 'a', 't', 't', 'l', 'e']","['s', 'i', 'r', 'n', 'o', 'c', 'd', 'u', 'g', 'm']",5,0,False
chicories,"['c', 'h', 'i', 'c', 'o', 'r', 'i', 'e', 's']","['a', 'n', 't', 'l', 'd', 'u', 'g', 'm', 'p']",9,1,True
karate,"['_', 'a', 'r', 'a', 't', 'e']","['s', 'i', 'n', 'o', 'l', 'c', 'd', 'u', 'g', 'm']",5,0,False
woodchucks,"['_', 'o', 'o', 'd', 'c', '_', 'u', 'c', '_', 's']","['e', 'i', 'a', 'r', 'n', 't', 'l', 'g', 'm', 'p']",7,0,False
friendship,"['_', 'r', 'i', 'e', 'n', 'd', 's', 'h', 'i', 'p']","['a', 't', 'o', 'l', 'c', 'u', 'g', 'm', 'b', 'y']",9,0,False
humankind,"['h', 'u', 'm', 'a', 'n', '_', 'i', 'n', 'd']","['s', 'e', 'r', 't', 'o', 'l', 'c', 'g', 'p', 'b']",8,0,False
farmhouses,"['_', 'a', 'r', 'm', 'h', 'o', 'u', 's', 'e', 's']","['i', 'n', 't', 'l', 'c', 'd', 'g', 'p', 'b', 'y']",9,0,False
inexperienced,"['i', 'n', 'e', '_', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e', 'd']","['s', 'a', 't', 'o', 'l', 'u', 'g', 'm', 'h', 'b']",12,0,False
commingling,"['c', 'o', 'm', 'm', 'i', 'n', 'g', 'l', 'i', 'n', 'g']","['s', 'e', 'a', 'r', 't', 'd', 'u']",11,3,True
gymnosperms,"['g', 'y', 'm', 'n', 'o', 's', 'p', 'e', 'r', 'm', 's']","['i', 'a', 't', 'l', 'c', 'd', 'u', 'h', 'b']",11,1,True
hefts,"['_', 'e', '_', 't', 's']","['i', 'a', 'r', 'n', 'o', 'l', 'c', 'd', 'u', 'g']",3,0,False
loneliness,"['l', 'o', 'n', 'e', 'l', 'i', 'n', 'e', 's', 's']","['a', 'r', 't']",10,7,True
climax,"['c', 'l', 'i', 'm', 'a', '_']","['s', 'e', 'r', 'n', 't', 'o', 'd', 'u', 'g', 'p']",5,0,False
ovals,"['o', '_', 'a', 'l', 's']","['e', 'i', 'r', 'n', 't', 'c', 'd', 'u', 'g', 'm']",4,0,False
pizzerias,"['p', 'i', '_', '_', 'e', 'r', 'i', 'a', 's']","['n', 't', 'o', 'l', 'c', 'd', 'u', 'g', 'm', 'h']",7,0,False
insensitive,"['i', 'n', 's', 'e', 'n', 's', 'i', 't', 'i', '_', 'e']","['a', 'r', 'o', 'l', 'c', 'd', 'u', 'g', 'm', 'p']",10,0,False
yanking,"['_', 'a', 'n', '_', 'i', 'n', 'g']","['s', 'e', 'r', 't', 'o', 'l', 'c', 'd', 'u', 'm']",5,0,False
triggers,"['t', 'r', 'i', 'g', 'g', 'e', 'r', 's']","['a', 'n', 'o', 'l', 'c', 'd', 'u']",8,3,True
onset,"['o', 'n', 's', 'e', 't']","['i', 'a', 'r']",5,7,True
goings,"['g', 'o', 'i', 'n', 'g', 's']","['e', 'a', 'r', 't', 'l', 'c', 'd', 'u']",6,2,True
courtliness,"['c', 'o', 'u', 'r', 't', 'l', 'i', 'n', 'e', 's', 's']","['a', 'd']",11,8,True
deathtraps,"['d', 'e', 'a', 't', 'h', 't', 'r', 'a', 'p', 's']","['i', 'n', 'o', 'l', 'c', 'u', 'g', 'm']",10,2,True
germane,"['g', 'e', 'r', 'm', 'a', 'n', 'e']","['s', 'i', 't', 'o', 'l', 'c', 'd', 'u']",7,2,True
eightieths,"['e', 'i', 'g', '_', 't', 'i', 'e', 't', '_', 's']","['a', 'r', 'n', 'o', 'l', 'c', 'd', 'u', 'm', 'p']",8,0,False
mainly,"['m', 'a', 'i', 'n', 'l', '_']","['s', 'e', 'r', 't', 'o', 'c', 'd', 'u', 'g', 'p']",5,0,False
gap,"['_', 'a', '_']","['s', 'e', 'i', 'r', 'n', 't', 'o', 'l', 'c', 'd']",1,0,False
wiled,"['_', 'i', 'l', 'e', 'd']","['s', 'a', 'r', 'n', 't', 'o', 'c', 'u', 'g', 'm']",4,0,False
maxed,"['_', 'a', '_', 'e', 'd']","['s', 'i', 'r', 'n', 't', 'o', 'l', 'c', 'u', 'g']",3,0,False
sushi,"['s', 'u', 's', '_', 'i']","['e', 'a', 'r', 'n', 't', 'o', 'l', 'c', 'd', 'g']",4,0,False
embodying,"['e', 'm', 'b', 'o', 'd', 'y', 'i', 'n', 'g']","['s', 'a', 'r', 't', 'l', 'c', 'u', 'p', 'h']",9,1,True
scrubbing,"['s', 'c', 'r', 'u', 'b', 'b', 'i', 'n', 'g']","['e', 'a', 't', 'o', 'l', 'd', 'm', 'p', 'h']",9,1,True
chipmunk,"['c', 'h', 'i', 'p', 'm', 'u', 'n', '_']","['s', 'e', 'a', 'r', 't', 'o', 'l', 'd', 'g', 'b']",7,0,False
facings,"['_', 'a', 'c', 'i', 'n', 'g', 's']","['e', 'r', 't', 'o', 'l', 'd', 'u', 'm', 'p', 'h']",6,0,False
convene,"['c', 'o', 'n', '_', 'e', 'n', 'e']","['s', 'i', 'a', 'r', 't', 'l', 'd', 'u', 'g', 'm']",6,0,False
mamas,"['_', 'a', '_', 'a', 's']","['e', 'i', 'r', 'n', 't', 'o', 'l', 'c', 'd', 'u']",3,0,False
lilt,"['l', 'i', 'l', 't']","['s', 'e', 'a', 'r', 'n', 'o']",4,4,True
confectioners,"['c', 'o', 'n', '_', 'e', 'c', 't', 'i', 'o', 'n', 'e', 'r', 's']","['a', 'l', 'd', 'u', 'g', 'm', 'p', 'h', 'b', 'y']",12,0,False
herring,"['_', 'e', 'r', 'r', 'i', 'n', 'g']","['s', 'a', 't', 'o', 'l', 'c', 'd', 'u', 'm', 'p']",6,0,False
dome,"['d', 'o', '_', 'e']","['s', 'i', 'a', 'r', 'n', 't', 'l', 'c', 'u', 'g']",3,0,False
transfixes,"['t', 'r', 'a', 'n', 's', '_', 'i', '_', 'e', 's']","['o', 'l', 'c', 'd', 'u', 'g', 'm', 'p', 'h', 'b']",8,0,False
postponements,"['p', 'o', 's', 't', 'p', 'o', 'n', 'e', 'm', 'e', 'n', 't', 's']","['i', 'a', 'r', 'l', 'c', 'd', 'u', 'g']",13,2,True
tailcoat,"['t', 'a', 'i', 'l', 'c', 'o', 'a', 't']","['s', 'e', 'r', 'n']",8,6,True
slinky,"['s', 'l', 'i', 'n', '_', '_']","['e', 'a', 'r', 't', 'o', 'c', 'd', 'u', 'g', 'm']",4,0,False
meets,"['_', 'e', 'e', 't', 's']","['i', 'a', 'r', 'n', 'o', 'l', 'c', 'd', 'u', 'g']",4,0,False
script,"['s', 'c', 'r', 'i', 'p', 't']","['e', 'a', 'n', 'o', 'l', 'd', 'u', 'g', 'm']",6,1,True
horrors,"['_', 'o', 'r', 'r', 'o', 'r', 's']","['e', 'i', 'a', 'n', 't', 'l', 'c', 'd', 'u', 'g']",6,0,False
wimp,"['_', 'i', '_', '_']","['s', 'e', 'a', 'r', 'n', 't', 'o', 'l', 'c', 'd']",1,0,False
bonito,"['_', 'o', 'n', 'i', 't', 'o']","['s', 'e', 'a', 'r', 'l', 'c', 'd', 'u', 'g', 'm']",5,0,False
guiltiness,"['g', 'u', 'i', 'l', 't', 'i', 'n', 'e', 's', 's']","['a', 'r', 'o', 'c', 'd']",10,5,True
officeholder,"['o', '_', '_', 'i', 'c', 'e', 'h', 'o', 'l', 'd', 'e', 'r']","['s', 'a', 'n', 't', 'u', 'g', 'm', 'p', 'b', 'y']",10,0,False
moody,"['_', 'o', 'o', 'd', '_']","['s', 'e', 'i', 'a', 'r', 'n', 't', 'l', 'c', 'u']",3,0,False
wielding,"['_', 'i', 'e', 'l', 'd', 'i', 'n', 'g']","['s', 'a', 'r', 't', 'o', 'c', 'u', 'm', 'p', 'h']",7,0,False
irked,"['i', 'r', '_', 'e', 'd']","['s', 'a', 'n', 't', 'o', 'l', 'c', 'u', 'g', 'm']",4,0,False
disaffection,"['d', 'i', 's', 'a', 'f', 'f', 'e', 'c', 't', 'i', 'o', 'n']","['r', 'l', 'u', 'g', 'm', 'p', 'h', 'b', 'y']",12,1,True
framework,"['_', 'r', 'a', 'm', 'e', '_', 'o', 'r', '_']","['s', 'i', 'n', 't', 'l', 'c', 'd', 'u', 'g', 'p']",6,0,False
intrusions,"['i', 'n', 't', 'r', 'u', 's', 'i', 'o', 'n', 's']","['e', 'a', 'l', 'c', 'd']",10,5,True
airdrop,"['a', 'i', 'r', 'd', 'r', 'o', 'p']","['s', 'e', 'n', 't', 'l', 'c', 'u', 'g', 'm']",7,1,True
rewards,"['r', 'e', '_', 'a', 'r', 'd', 's']","['i', 'n', 't', 'o', 'l', 'c', 'u', 'g', 'm', 'p']",6,0,False
miscalculations,"['m', 'i', 's', 'c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'i', 'o', 'n', 's']","['e', 'r', 'd', 'g']",15,6,True
subsistence,"['s', 'u', 'b', 's', 'i', 's', 't', 'e', 'n', 'c', 'e']","['a', 'r', 'o', 'l', 'd', 'g', 'm', 'p', 'h']",11,1,True
simultaneous,"['s', 'i', 'm', 'u', 'l', 't', 'a', 'n', 'e', 'o', 'u', 's']","['r', 'c', 'd', 'g']",12,6,True
bondsmen,"['_', 'o', 'n', 'd', 's', 'm', 'e', 'n']","['i', 'a', 'r', 't', 'l', 'c', 'u', 'g', 'p', 'h']",7,0,False
tediously,"['t', 'e', 'd', 'i', 'o', 'u', 's', 'l', 'y']","['a', 'r', 'n', 'c', 'g', 'm', 'p', 'h', 'b']",9,1,True
fucked,"['_', 'u', 'c', '_', 'e', 'd']","['s', 'i', 'a', 'r', 'n', 't', 'o', 'l', 'g', 'm']",4,0,False
bound,"['_', 'o', 'u', 'n', 'd']","['s', 'e', 'i', 'a', 'r', 't', 'l', 'c', 'g', 'm']",4,0,False
sissier,"['s', 'i', 's', 's', 'i', 'e', 'r']",['a'],7,9,True
