target,discovered,wrong letters,number of hits,lives remaining,game won
punned,"['p', 'u', 'n', 'n', 'e', 'd']","['s', 'r', 'l', 'a', 'i']",6,5,True
anode,"['a', 'n', 'o', 'd', 'e']","['s', 'l', 'b']",5,7,True
passes,"['p', 'a', 's', 's', 'e', 's']","['l', 'b']",6,8,True
maxing,"['m', 'a', 'x', 'i', 'n', 'g']","['s', 'r', 'd', 't', 'w', 'l', 'p', 'k', 'c']",6,1,True
quadrant,"['q', 'u', 'a', 'd', 'r', 'a', 'n', 't']",[],8,10,True
polygamy,"['p', 'o', 'l', 'y', 'g', 'a', 'm', 'y']","['r', 'i', 's', 'd']",8,6,True
technologists,"['t', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'i', 's', 't', 's']",['r'],13,9,True
tussle,"['t', 'u', 's', 's', 'l', 'e']",['a'],6,9,True
explicitly,"['e', 'x', 'p', 'l', 'i', 'c', 'i', 't', 'l', 'y']","['o', 'a', 'b', 's', 'm']",10,5,True
moderators,"['m', 'o', 'd', 'e', 'r', 'a', 't', 'o', 'r', 's']",['u'],10,9,True
error,"['e', 'r', 'r', 'o', 'r']","['s', 't', 'n', 'l', 'y']",5,5,True
stamped,"['s', 't', 'a', 'm', 'p', 'e', 'd']","['r', 'i', 'l', 'b', 'c']",7,5,True
dress,"['d', 'r', 'e', 's', 's']",[],5,10,True
truckled,"['t', 'r', 'u', 'c', 'k', 'l', 'e', 'd']","['s', 'i', 'a', 'b', 'p']",8,5,True
accommodation,"['a', 'c', 'c', 'o', 'm', 'm', 'o', 'd', 'a', 't', 'i', 'o', 'n']","['s', 'g']",13,8,True
reload,"['r', 'e', 'l', 'o', 'a', 'd']","['s', 'i']",6,8,True
confounded,"['c', 'o', 'n', 'f', 'o', 'u', 'n', 'd', 'e', 'd']",['p'],10,9,True
racketeers,"['r', 'a', 'c', 'k', 'e', 't', 'e', 'e', 'r', 's']","['o', 'l']",10,8,True
ignoramuses,"['i', 'g', 'n', 'o', 'r', 'a', 'm', 'u', 's', 'e', 's']",['l'],11,9,True
party,"['p', 'a', 'r', 't', 'y']","['s', 'e', 'n', 'd']",5,6,True
rill,"['r', 'i', 'l', 'l']","['e', 's', 'a', 'o', 'u', 'n']",4,4,True
player,"['p', 'l', 'a', 'y', 'e', 'r']","['s', 'm']",6,8,True
protester,"['p', 'r', 'o', 't', 'e', 's', 't', 'e', 'r']","['i', 'd', 'l']",9,7,True
asphalted,"['a', 's', 'p', 'h', 'a', 'l', 't', 'e', 'd']","['r', 'i']",9,8,True
uniforms,"['u', 'n', 'i', 'f', 'o', 'r', 'm', 's']","['a', 't', 'p']",8,7,True
coniferous,"['c', 'o', 'n', 'i', 'f', 'e', 'r', 'o', 'u', 's']",[],10,10,True
dishearten,"['d', 'i', 's', 'h', 'e', 'a', 'r', 't', 'e', 'n']","['o', 'l', 'g']",10,7,True
scull,"['s', 'c', 'u', 'l', 'l']","['e', 'a', 'o', 'i', 'n']",5,5,True
virgin,"['v', 'i', 'r', 'g', 'i', 'n']","['s', 'a', 'd']",6,7,True
licentiously,"['l', 'i', 'c', 'e', 'n', 't', 'i', 'o', 'u', 's', 'l', 'y']",[],12,10,True
tightest,"['t', 'i', 'g', 'h', 't', 'e', 's', 't']","['r', 'a']",8,8,True
awaked,"['a', 'w', 'a', 'k', 'e', 'd']","['s', 'r', 'l', 'n', 'o', 'b']",6,4,True
tweeters,"['t', 'w', 'e', 'e', 't', 'e', 'r', 's']","['a', 'o', 'l', 'p']",8,6,True
gardens,"['g', 'a', 'r', 'd', 'e', 'n', 's']","['h', 'w']",7,8,True
anxious,"['a', 'n', 'x', 'i', 'o', 'u', 's']","['r', 'e', 't', 'l', 'w']",7,5,True
ideologists,"['i', 'd', 'e', 'o', 'l', 'o', 'g', 'i', 's', 't', 's']",['a'],11,9,True
revamps,"['r', 'e', 'v', 'a', 'm', 'p', 's']",['t'],7,9,True
surmising,"['s', 'u', 'r', 'm', 'i', 's', 'i', 'n', 'g']","['t', 'a', 'o', 'l', 'd']",9,5,True
sonatas,"['s', 'o', 'n', 'a', 't', 'a', 's']","['r', 'l', 'e']",7,7,True
isms,"['i', 's', 'm', 's']","['e', 'a']",4,8,True
rippers,"['r', 'i', 'p', 'p', 'e', 'r', 's']","['a', 'o', 'n', 'u']",7,6,True
benefiting,"['b', 'e', 'n', 'e', 'f', 'i', 't', 'i', 'n', 'g']","['o', 'l', 'a', 's', 'p', 'r']",10,4,True
heed,"['h', 'e', 'e', 'd']","['s', 'r', 'p', 'f']",4,6,True
sprinkler,"['s', 'p', 'r', 'i', 'n', 'k', 'l', 'e', 'r']","['t', 'a', 'o', 'b']",9,6,True
harness,"['h', 'a', 'r', 'n', 'e', 's', 's']",[],7,10,True
paginates,"['p', 'a', 'g', 'i', 'n', 'a', 't', 'e', 's']","['d', 'r']",9,8,True
paediatrician,"['p', 'a', 'e', 'd', 'i', 'a', 't', 'r', 'i', 'c', 'i', 'a', 'n']",[],13,10,True
partakers,"['p', 'a', 'r', 't', 'a', 'k', 'e', 'r', 's']",[],9,10,True
maltreats,"['m', 'a', 'l', 't', 'r', 'e', 'a', 't', 's']",[],9,10,True
suspenders,"['s', 'u', 's', 'p', 'e', 'n', 'd', 'e', 'r', 's']","['o', 'l', 'a', 't']",10,6,True
bedazzled,"['b', 'e', 'd', 'a', 'z', 'z', 'l', 'e', 'd']","['t', 'r', 's']",9,7,True
gunshots,"['g', 'u', 'n', 's', 'h', 'o', 't', 's']","['r', 'a', 'b', 'p', 'q']",8,5,True
inconspicuousness,"['i', 'n', 'c', 'o', 'n', 's', 'p', 'i', 'c', 'u', 'o', 'u', 's', 'n', 'e', 's', 's']",[],17,10,True
impracticable,"['i', 'm', 'p', 'r', 'a', 'c', 't', 'i', 'c', 'a', 'b', 'l', 'e']",['y'],13,9,True
mutual,"['m', 'u', 't', 'u', 'a', 'l']","['s', 'r', 'd', 'n', 'c', 'i', 'f']",6,3,True
fists,"['f', 'i', 's', 't', 's']","['e', 'u', 'a', 'l']",5,6,True
protrusions,"['p', 'r', 'o', 't', 'r', 'u', 's', 'i', 'o', 'n', 's']","['c', 'a', 'f']",11,7,True
conciliatory,"['c', 'o', 'n', 'c', 'i', 'l', 'i', 'a', 't', 'o', 'r', 'y']","['u', 's']",12,8,True
simmers,"['s', 'i', 'm', 'm', 'e', 'r', 's']",['n'],7,9,True
pressed,"['p', 'r', 'e', 's', 's', 'e', 'd']","['o', 'a']",7,8,True
angry,"['a', 'n', 'g', 'r', 'y']","['s', 'e', 'o', 'i', 'l']",5,5,True
prettifies,"['p', 'r', 'e', 't', 't', 'i', 'f', 'i', 'e', 's']","['o', 'l', 'a']",10,7,True
staves,"['s', 't', 'a', 'v', 'e', 's']","['l', 'r', 'k', 'g']",6,6,True
