target,discovered,wrong letters,number of hits,lives remaining,game won
flannels,"['_', 'l', 'a', 'n', 'n', 'e', 'l', 's']","['i', 'r', 'o', 't', 'd', 'u', 'c', 'p', 'm', 'y']",7,0,False
pessimistically,"['p', 'e', 's', 's', 'i', 'm', 'i', 's', 't', 'i', 'c', 'a', 'l', 'l', 'y']","['r', 'n', 'o', 'd', 'u', 'h', 'b']",15,3,True
turns,"['t', 'u', 'r', 'n', 's']","['e', 'i', 'a', 'o', 'l', 'y']",5,4,True
mite,"['_', 'i', 't', 'e']","['s', 'n', 'r', 'l', 'd', 'a', 'o', 'u', 'h', 'p']",3,0,False
repatriate,"['r', 'e', 'p', 'a', 't', 'r', 'i', 'a', 't', 'e']","['s', 'n', 'l', 'd', 'o', 'c']",10,4,True
scrofula,"['s', 'c', 'r', 'o', '_', 'u', 'l', 'a']","['e', 'i', 't', 'n', 'y', 'm', 'b', 'p', 'd', 'h']",7,0,False
landslide,"['l', 'a', 'n', 'd', 's', 'l', 'i', 'd', 'e']","['r', 't', 'o']",9,7,True
misstated,"['m', 'i', 's', 's', 't', 'a', 't', 'e', 'd']","['r', 'n', 'l', 'o', 'c', 'u']",9,4,True
group,"['_', 'r', 'o', 'u', '_']","['e', 'i', 'a', 's', 'l', 't', 'n', 'y', 'c', 'm']",3,0,False
adulterers,"['a', 'd', 'u', 'l', 't', 'e', 'r', 'e', 'r', 's']","['i', 'o']",10,8,True
inclinations,"['i', 'n', 'c', 'l', 'i', 'n', 'a', 't', 'i', 'o', 'n', 's']","['e', 'r', 'g']",12,7,True
abides,"['a', '_', 'i', 'd', 'e', 's']","['r', 'n', 'l', 't', 'o', 'c', 'm', 'p', 'u', 'h']",5,0,False
blurts,"['b', 'l', 'u', 'r', 't', 's']","['e', 'i', 'a', 'o', 'y', 'n', 'c', 'm']",6,2,True
stiffs,"['s', 't', 'i', '_', '_', 's']","['e', 'a', 'o', 'n', 'u', 'l', 'r', 'h', 'y', 'm']",4,0,False
jaguar,"['_', 'a', '_', 'u', 'a', 'r']","['e', 'i', 'o', 's', 'l', 't', 'n', 'y', 'm', 'c']",4,0,False
zeppelins,"['_', 'e', 'p', 'p', 'e', 'l', 'i', 'n', 's']","['a', 'o', 'r', 't', 'd', 'u', 'g', 'c', 'm', 'h']",8,0,False
mainstay,"['m', 'a', 'i', 'n', 's', 't', 'a', '_']","['e', 'o', 'l', 'r', 'g', 'u', 'c', 'h', 'p', 'd']",7,0,False
gassier,"['_', 'a', 's', 's', 'i', 'e', 'r']","['n', 't', 'l', 'o', 'd', 'c', 'p', 'm', 'b', 'h']",6,0,False
fever,"['_', 'e', '_', 'e', 'r']","['s', 'i', 'a', 'o', 'u', 'd', 't', 'l', 'y', 'n']",3,0,False
pirates,"['p', 'i', 'r', 'a', 't', 'e', 's']","['n', 'l', 'o', 'd', 'c']",7,5,True
doorknobs,"['d', 'o', 'o', 'r', '_', 'n', 'o', 'b', 's']","['e', 'i', 'a', 'u', 't', 'l', 'c', 'w', 'p', 'y']",8,0,False
braying,"['_', 'r', 'a', '_', 'i', 'n', 'g']","['e', 's', 'o', 'l', 't', 'u', 'c', 'd', 'p', 'm']",5,0,False
helper,"['h', 'e', 'l', 'p', 'e', 'r']","['s', 'i', 'a', 'o', 'u', 'd', 't', 'y', 'n']",6,1,True
spark,"['s', '_', 'a', 'r', '_']","['e', 'i', 'o', 'u', 'l', 't', 'n', 'y', 'c', 'm']",3,0,False
hundredweights,"['h', 'u', 'n', 'd', 'r', 'e', 'd', 'w', 'e', 'i', 'g', 'h', 't', 's']","['a', 'o', 'l', 'c', 'p', 'm', 'f', 'b']",14,2,True
placidity,"['p', 'l', 'a', 'c', 'i', 'd', 'i', 't', 'y']","['e', 's', 'n', 'o', 'r', 'u', 'm', 'h']",9,2,True
malignant,"['m', 'a', 'l', 'i', 'g', 'n', 'a', 'n', 't']","['e', 's', 'o', 'r', 'u', 'c', 'y']",9,3,True
columnist,"['c', 'o', 'l', 'u', 'm', 'n', 'i', 's', 't']","['e', 'a', 'g', 'r', 'p', 'd']",9,4,True
cloisters,"['c', 'l', 'o', 'i', 's', 't', 'e', 'r', 's']","['a', 'n', 'd', 'u', 'p']",9,5,True
careless,"['c', 'a', 'r', 'e', 'l', 'e', 's', 's']","['i', 'o', 't', 'd', 'u']",8,5,True
meanest,"['m', 'e', 'a', 'n', 'e', 's', 't']","['i', 'r', 'o', 'l', 'd', 'u', 'c', 'p']",7,2,True
